Pop1,Pop2,Fst,Distance,Species
Moyobamba,Urahuasha,0.01202,83,H.numata (Amazon)
Moyobamba,Michaela,0.01349,84,H.numata (Amazon)
Moyobamba,Tunel,0.01194,87,H.numata (Amazon)
Moyobamba,FG,0.03482,2924,H.numata (Amazon)
Moyobamba,Colombia,0.01832,879,H.numata (Amazon)
Moyobamba,Brazil,0.30376,3954,H.numata (Brazil) vs H.numata (Amazon)
Moyobamba,Ecuador,0.01517,550,H.numata (Amazon)
Moyobamba,MadreDios,0.03342,1042,H.numata (Amazon)
Moyobamba,PuertoBermudez,0.01958,524,H.numata (Amazon)
Moyobamba,LaMerced,0.02021,574,H.numata (Amazon)
Urahuasha,Michaela,0.00648,55,H.numata (Amazon)
Urahuasha,Tunel,0.00356,22,H.numata (Amazon)
Urahuasha,FG,0.02372,2873,H.numata (Amazon)
Urahuasha,Colombia,0.01125,911,H.numata (Amazon)
Urahuasha,Brazil,0.21910,3872,H.numata (Brazil) vs H.numata (Amazon)
Urahuasha,Ecuador,0.00881,606,H.numata (Amazon)
Urahuasha,MadreDios,0.02022,962,H.numata (Amazon)
Urahuasha,PuertoBermudez,0.00859,458,H.numata (Amazon)
Urahuasha,LaMerced,0.01277,516,H.numata (Amazon)
Michaela,Tunel,0.00555,53,H.numata (Amazon)
Michaela,FG,0.02229,2842,H.numata (Amazon)
Michaela,Colombia,0.00826,857,H.numata (Amazon)
Michaela,Brazil,0.24284,3891,H.numata (Brazil) vs H.numata (Amazon)
Michaela,Ecuador,0.00613,558,H.numata (Amazon)
Michaela,MadreDios,0.02016,993,H.numata (Amazon)
Michaela,PuertoBermudez,0.00866,506,H.numata (Amazon)
Michaela,LaMerced,0.01303,567,H.numata (Amazon)
Tunel,FG,0.02541,2868,H.numata (Amazon)
Tunel,Colombia,0.01060,910,H.numata (Amazon)
Tunel,Brazil,0.29928,3867,H.numata (Brazil) vs H.numata (Amazon)
Tunel,Ecuador,0.00761,607,H.numata (Amazon)
Tunel,MadreDios,0.02436,958,H.numata (Amazon)
Tunel,PuertoBermudez,0.01179,457,H.numata (Amazon)
Tunel,LaMerced,0.01294,515,H.numata (Amazon)
FG,Colombia,0.02569,2563,H.numata (Amazon)
FG,Brazil,0.28732,3143,H.numata (Brazil) vs H.numata (Amazon)
FG,Ecuador,0.02569,2857,H.numata (Amazon)
FG,MadreDios,0.03922,2661,H.numata (Amazon)
FG,PuertoBermudez,0.02500,2940,H.numata (Amazon)
FG,LaMerced,0.03219,3019,H.numata (Amazon)
Colombia,Brazil,0.26381,4353,H.numata (Brazil) vs H.numata (Amazon)
Colombia,Ecuador,0.00586,407,H.numata (Amazon)
Colombia,MadreDios,0.02484,1697,H.numata (Amazon)
Colombia,PuertoBermudez,0.01293,1343,H.numata (Amazon)
Colombia,LaMerced,0.01814,1414,H.numata (Amazon)
Brazil,Ecuador,0.26613,4339,H.numata (Brazil) vs H.numata (Amazon)
Brazil,MadreDios,0.32031,2942,H.numata (Brazil) vs H.numata (Amazon)
Brazil,PuertoBermudez,0.36957,3525,H.numata (Brazil) vs H.numata (Amazon)
Brazil,LaMerced,0.31193,3535,H.numata (Brazil) vs H.numata (Amazon)
Ecuador,MadreDios,0.02410,1521,H.numata (Amazon)
Ecuador,PuertoBermudez,0.01149,1064,H.numata (Amazon)
Ecuador,LaMerced,0.01519,1121,H.numata (Amazon)
MadreDios,PuertoBermudez,0.02662,585,H.numata (Amazon)
MadreDios,LaMerced,0.03030,603,H.numata (Amazon)
PuertoBermudez,LaMerced,0.01633,87,H.numata (Amazon)
