Pop1,Pop2,Fst,Distance,Species
Moyobamba,Urahuasha,0.01146,83,H.numata (Amazon)
Moyobamba,Michaela,0.01246,84,H.numata (Amazon)
Moyobamba,Tunel,0.01175,87,H.numata (Amazon)
Moyobamba,FG,0.03425,2924,H.numata (Amazon)
Moyobamba,Colombia,0.01736,879,H.numata (Amazon)
Moyobamba,Brazil,0.30455,3954,H.numata (Brazil) vs H.numata (Amazon)
Moyobamba,Ecuador,0.01469,550,H.numata (Amazon)
Moyobamba,MadreDios,0.03026,1042,H.numata (Amazon)
Moyobamba,PuertoBermudez,0.01958,524,H.numata (Amazon)
Moyobamba,LaMerced,0.02003,574,H.numata (Amazon)
Urahuasha,Michaela,0.00669,55,H.numata (Amazon)
Urahuasha,Tunel,0.00345,22,H.numata (Amazon)
Urahuasha,FG,0.02426,2873,H.numata (Amazon)
Urahuasha,Colombia,0.01150,911,H.numata (Amazon)
Urahuasha,Brazil,0.21994,3872,H.numata (Brazil) vs H.numata (Amazon)
Urahuasha,Ecuador,0.00899,606,H.numata (Amazon)
Urahuasha,MadreDios,0.01968,962,H.numata (Amazon)
Urahuasha,PuertoBermudez,0.00916,458,H.numata (Amazon)
Urahuasha,LaMerced,0.01243,516,H.numata (Amazon)
Michaela,Tunel,0.00535,53,H.numata (Amazon)
Michaela,FG,0.02263,2842,H.numata (Amazon)
Michaela,Colombia,0.00836,857,H.numata (Amazon)
Michaela,Brazil,0.24383,3891,H.numata (Brazil) vs H.numata (Amazon)
Michaela,Ecuador,0.00613,558,H.numata (Amazon)
Michaela,MadreDios,0.01928,993,H.numata (Amazon)
Michaela,PuertoBermudez,0.00913,506,H.numata (Amazon)
Michaela,LaMerced,0.01238,567,H.numata (Amazon)
Tunel,FG,0.02578,2868,H.numata (Amazon)
Tunel,Colombia,0.01036,910,H.numata (Amazon)
Tunel,Brazil,0.30104,3867,H.numata (Brazil) vs H.numata (Amazon)
Tunel,Ecuador,0.00765,607,H.numata (Amazon)
Tunel,MadreDios,0.02208,958,H.numata (Amazon)
Tunel,PuertoBermudez,0.01268,457,H.numata (Amazon)
Tunel,LaMerced,0.01302,515,H.numata (Amazon)
FG,Colombia,0.02625,2563,H.numata (Amazon)
FG,Brazil,0.28885,3143,H.numata (Brazil) vs H.numata (Amazon)
FG,Ecuador,0.02626,2857,H.numata (Amazon)
FG,MadreDios,0.03822,2661,H.numata (Amazon)
FG,PuertoBermudez,0.02612,2940,H.numata (Amazon)
FG,LaMerced,0.03202,3019,H.numata (Amazon)
Colombia,Brazil,0.26455,4353,H.numata (Brazil) vs H.numata (Amazon)
Colombia,Ecuador,0.00608,407,H.numata (Amazon)
Colombia,MadreDios,0.02392,1697,H.numata (Amazon)
Colombia,PuertoBermudez,0.01348,1343,H.numata (Amazon)
Colombia,LaMerced,0.01750,1414,H.numata (Amazon)
Brazil,Ecuador,0.26757,4339,H.numata (Brazil) vs H.numata (Amazon)
Brazil,MadreDios,0.31771,2942,H.numata (Brazil) vs H.numata (Amazon)
Brazil,PuertoBermudez,0.37277,3525,H.numata (Brazil) vs H.numata (Amazon)
Brazil,LaMerced,0.31313,3535,H.numata (Brazil) vs H.numata (Amazon)
Ecuador,MadreDios,0.02268,1521,H.numata (Amazon)
Ecuador,PuertoBermudez,0.01231,1064,H.numata (Amazon)
Ecuador,LaMerced,0.01508,1121,H.numata (Amazon)
MadreDios,PuertoBermudez,0.02522,585,H.numata (Amazon)
MadreDios,LaMerced,0.02707,603,H.numata (Amazon)
PuertoBermudez,LaMerced,0.01739,87,H.numata (Amazon)
